ProductKey,Unit Price,Margin,TotalSales
691,236.00,66.86,3776.00
2456,19.99,49.02,29.985
426,499.90,49.01,7498.50
2335,339.00,54.01,1830.60
1841,999.00,49.01,1498.50
1198,411.00,49.01,3740.10
1760,94.80,54.00,511.92
1094,332.00,54.01,2921.60
2150,149.00,49.02,1206.90
919,0.95,49.47,14.25
1942,299.99,49.01,1889.937
1189,170.00,49.01,816.00
657,149.00,54.01,2086.00
1401,40.19,54.01,56.266
2189,163.00,49.01,1026.90
1207,1520.00,66.86,9728.00
2125,163.00,49.01,326.00
1774,43.00,49.02,258.00
1244,178.00,49.01,783.20
2391,459.99,54.01,1885.959
1440,189.00,54.01,2721.60
2387,299.99,49.01,224.9925
473,59.00,49.01,118.00
2094,257.50,49.01,772.50
1645,57.88,54.00,52.092
1165,170.00,49.01,1989.00
1859,1818.90,54.01,13423.482
845,26.90,49.03,53.80
1924,299.99,49.01,599.98
1687,6.88,54.06,28.896
1396,22.99,54.02,289.674
1517,267.00,54.01,4272.00
1590,22.89,66.88,22.89
46,149.95,49.01,674.775
2068,199.99,54.01,491.9754
1074,312.00,54.01,1622.40
1563,268.00,54.01,1715.20
1312,205.00,54.01,1968.00
2240,268.50,54.01,402.75
860,29.95,54.02,74.875
1599,57.88,54.00,364.644
2412,29.99,49.01,122.959
316,219.00,49.01,219.00
112,249.99,66.86,1249.95
2089,257.50,49.01,1854.00
2446,4.99,49.09,22.455
1048,427.00,66.86,1708.00
395,326.00,49.01,4890.00
81,40.55,54.00,66.502
2008,199.99,54.01,819.959
1354,28.99,54.01,202.93
2487,400.00,54.01,300.00
1018,188.00,54.01,902.40
1380,21.00,54.00,336.00
978,290.00,66.86,1595.00
1020,290.00,66.86,2610.00
2231,339.00,54.01,555.96
686,149.00,54.01,2086.00
42,232.00,54.01,2088.00
2385,429.99,54.01,1762.959
360,380.00,49.01,3040.00
669,188.00,54.01,1504.00
749,16.50,54.00,247.50
1183,1520.00,66.86,2432.00
428,969.00,66.86,15504.00
139,499.99,54.01,2499.95
1472,239.00,54.01,1003.80
724,163.00,54.01,2445.00
976,188.00,54.01,244.40
1940,899.00,54.01,1798.00
1275,52.13,49.01,135.538
44,232.00,54.01,570.72
403,699.00,54.01,12232.50
1139,328.00,54.01,1312.00
80,40.55,54.00,324.40
531,679.00,66.86,5092.50
64,181.00,54.01,1484.20
1929,493.00,54.01,4437.00
1557,310.00,54.01,2480.00
221,599.00,54.01,599.00
1293,595.00,66.86,3927.00
1368,40.19,54.01,578.736
1602,179.99,54.01,1457.919
1461,308.00,54.01,4928.00
1418,293.00,54.01,4688.00
577,699.00,54.01,3145.50
1573,58.99,54.00,383.435
679,78.00,49.01,117.00
2276,79.95,49.01,215.865
241,329.00,49.01,1250.20
2011,99.99,49.01,245.9754
1106,322.00,54.01,3606.40
561,139.00,49.01,695.00
1494,208.00,54.01,1664.00
1181,1580.00,66.86,3476.00
1137,436.20,66.86,567.06
648,79.00,49.01,474.00
1328,49.99,66.87,299.94
1787,43.00,49.02,30.10
2184,445.00,54.01,3115.00
2139,129.90,49.01,745.626
224,599.00,54.01,3773.70
1480,129.00,49.01,619.20
1093,568.00,66.86,2272.00
2468,30.99,49.01,92.97
654,129.00,54.01,1161.00
2429,32.89,49.01,222.0075
2360,199.99,49.01,1199.94
924,1.99,49.24,4.975
723,102.00,49.01,255.00
1557,310.00,54.01,2232.00
1474,208.00,54.01,1872.00
2020,199.99,54.01,799.96
110,132.99,54.01,436.2072
1816,32.00,49.03,115.20
908,102.00,49.01,1632.00
296,259.00,49.01,984.20
1012,198.00,54.01,1386.00
1014,129.00,54.01,141.90
1926,129.99,49.01,779.94
305,329.00,54.01,1316.00
130,200.00,49.01,720.00
1770,34.00,49.02,142.80
1186,860.00,54.01,2580.00
2404,635.99,66.86,4451.93
157,1099.99,54.01,2969.973
2068,199.99,54.01,749.9625
700,159.00,54.01,1431.00
1653,109.99,49.01,857.922
1533,299.00,54.01,2511.60
1617,57.99,54.00,365.337
120,119.99,49.02,971.919
725,190.00,54.01,760.00
1438,290.00,54.01,1392.00
1144,600.00,54.01,3120.00
1301,95.00,54.01,1216.00
2252,79.95,49.01,590.031
2411,29.99,49.01,224.925
1711,70.13,54.01,252.468
1304,68.00,54.01,88.40
454,269.90,49.01,539.80
2174,149.00,49.02,1221.80
1091,358.00,54.01,2506.00
738,228.00,66.86,2280.00
2379,399.99,54.01,1499.9625
2123,745.99,54.01,2014.173
419,369.00,49.01,5904.00
2019,665.94,66.86,546.0708
33,255.00,66.86,191.25
1144,600.00,54.01,4620.00
2009,179.99,54.01,442.7754
1078,314.00,54.01,345.40
1108,629.00,66.86,3774.00
1514,208.00,54.01,2329.60
1550,280.00,54.01,896.00
509,139.00,49.01,834.00
560,190.00,54.01,950.00
653,136.00,54.01,952.00
2138,149.00,49.02,804.60
213,299.90,49.01,1349.55
2223,339.00,54.01,2373.00
1079,358.00,54.01,787.60
332,219.00,49.01,832.20
592,499.00,49.01,5988.00
2112,791.00,54.01,593.25
1450,308.00,54.01,1663.20
460,299.90,49.01,5398.20
1514,208.00,54.01,416.00
145,2899.99,66.86,28999.90
2054,94.99,49.01,641.1825
1953,493.00,54.01,3327.75
130,200.00,49.01,1600.00
2495,9.99,49.04,55.944
408,758.00,54.01,6822.00
1932,129.99,49.01,1169.91
18,109.95,54.01,270.477
952,184.50,54.01,1771.20
334,999.00,66.86,1598.40
2236,79.95,49.01,59.9625
1224,1030.00,66.86,9270.00
1934,899.00,54.01,3371.25
1673,5.50,49.09,23.10
2208,268.50,54.01,440.34
600,2499.00,66.86,7497.00
501,59.00,49.01,944.00
184,99.00,54.01,297.00
188,116.90,54.01,666.33
1056,627.00,66.86,1254.00
2461,215.62,66.86,388.116
94,67.40,49.02,337.00
910,102.00,49.01,204.00
2493,24.99,49.01,124.95
539,2295.00,66.86,18360.00
1767,34.00,54.00,91.80
1101,568.00,66.86,5452.80
1479,310.00,54.01,4464.00
254,329.00,49.01,526.40
1659,259.99,66.86,259.99
1365,28.99,54.01,57.98
1561,402.00,66.86,5628.00
732,160.00,54.01,1600.00
96,67.40,49.02,101.10
2157,129.90,49.01,532.59
2489,14.99,49.03,23.984
1497,267.00,54.01,1708.80
1009,188.50,54.01,622.05
972,129.00,54.01,1651.20
2015,179.99,54.01,179.99
1732,72.45,54.00,195.615
99,120.00,54.01,630.00
1901,279.99,49.01,1469.9475
351,336.00,49.01,4704.00
1978,299.99,49.01,1079.964
1076,637.00,66.86,3503.50
2498,23.72,49.03,170.784
2120,149.00,49.02,134.10
731,129.00,54.01,387.00
70,47.95,54.01,129.465
1939,3199.99,66.86,19199.94
1596,12.66,54.02,148.122
871,20.96,48.99,83.84
728,196.00,54.01,2744.00
892,59.99,49.02,959.84
139,499.99,54.01,3599.928
117,169.99,49.01,1223.928
1403,47.44,54.00,474.40
1112,645.00,66.86,4966.50
10,59.99,49.02,89.985
595,251.00,66.86,2635.50
804,22.90,48.99,206.10
2110,1475.00,66.86,5900.00
399,599.00,54.01,4492.50
942,41.99,49.01,335.92
1022,184.50,54.01,590.40
1659,259.99,66.86,623.976
2190,635.99,66.86,2384.9625
1791,43.00,49.02,301.00
2186,149.00,49.02,938.70
311,279.00,49.01,1855.35
2031,665.94,66.86,3276.4248
1960,299.99,49.01,269.991
2500,23.72,49.03,341.568
1323,35.99,54.01,215.94
1355,32.99,54.01,277.116
2471,30.99,49.01,228.7062
1456,301.00,54.01,301.00
1849,1818.90,54.01,4911.03
400,758.00,54.01,758.00
792,27.90,54.01,251.10
1039,196.90,54.01,216.59
2397,635.99,66.86,2607.559
48,149.95,49.01,1199.60
1129,436.20,66.86,436.20
1478,300.00,54.01,480.00
498,129.00,49.01,1806.00
2016,139.99,49.01,629.955
1199,410.00,49.01,1066.00
1036,184.50,54.01,2398.50
1232,888.00,54.01,12787.20
1076,637.00,66.86,1019.20
1317,12.99,49.03,83.136
1038,186.90,54.01,1027.95
2195,101.99,49.01,334.5272
1047,338.00,54.01,3785.60
1431,256.00,54.01,1638.40
889,50.00,49.02,600.00
349,383.00,49.01,766.00
571,251.00,54.01,1882.50
1862,2652.90,66.86,4350.756
922,0.95,49.47,11.875
42,232.00,54.01,1331.68
515,59.00,49.01,177.00
2424,39.99,49.01,35.991
2406,429.99,54.01,967.4775
473,59.00,49.01,1032.50
1191,160.00,49.01,480.00
37,299.23,66.86,2154.456
804,22.90,48.99,343.50
2398,459.99,54.01,1724.9625
1889,1818.00,54.01,10908.00
333,319.00,49.01,1818.30
585,139.00,49.01,278.00
1121,436.20,66.86,697.92
1112,645.00,66.86,5676.00
1242,838.00,54.01,1676.00
2459,215.62,66.86,646.86
244,429.00,54.01,1222.65
1727,56.00,54.01,403.20
291,360.00,49.01,1710.00
1950,129.99,49.01,97.4925
346,659.00,54.01,14827.50
72,47.95,54.01,383.60
695,163.00,54.01,244.50
1198,411.00,49.01,2137.20
507,259.00,54.01,4532.50
1732,72.45,54.00,304.29
1235,838.00,54.01,8380.00
2032,199.99,54.01,819.959
2251,101.99,49.01,167.2636
74,37.95,54.01,37.95
331,199.00,49.01,378.10
2166,445.00,54.01,2189.40
1058,312.00,54.01,1248.00
185,169.00,66.86,1123.85
76,37.95,54.01,248.952
511,99.00,49.02,495.00
964,290.00,66.86,2262.00
2390,635.99,66.86,3129.0708
477,619.00,66.86,5571.00
1168,600.00,54.01,1980.00
1479,310.00,54.01,4340.00
1620,60.99,54.00,494.019
1921,3199.99,66.86,15999.95
1706,8.88,54.05,12.432
2516,3.35,48.95,36.18
1253,19.99,49.02,119.94
913,95.90,54.01,1006.95
1752,89.00,54.01,240.30
416,969.00,66.86,2907.00
804,22.90,48.99,68.70
346,659.00,54.01,8896.50
1450,308.00,54.01,5544.00
1201,999.00,66.86,15984.00
622,2295.00,66.86,18360.00
1082,304.00,54.01,1945.60
1188,180.00,49.01,1170.00
1570,398.00,66.86,2388.00
2000,94.99,49.01,427.455
694,102.00,49.01,255.00
1262,36.99,49.01,221.94
1244,178.00,49.01,178.00
1361,49.99,66.87,629.874
1765,598.80,66.86,2514.96
2222,635.99,66.86,1907.97
1035,281.00,49.01,899.20
2384,459.99,54.01,1034.9775
982,186.90,54.01,2186.73
2507,4.74,48.94,4.74
223,579.00,54.01,4053.00
53,296.00,66.86,1864.80
1196,422.00,49.01,2321.00
2278,635.99,66.86,3815.94
1972,299.99,49.01,2459.918
653,136.00,54.01,816.00
1590,22.89,66.88,137.34
2011,99.99,49.01,81.9918
1485,230.00,54.01,1656.00
777,13.90,48.99,222.40
1265,69.99,49.02,538.923
1660,289.99,66.86,782.973
2418,73.99,54.00,388.4475
2440,9.99,49.04,49.1508
2428,32.89,49.01,172.6725
1399,32.99,54.01,230.93
1924,299.99,49.01,1079.964
2285,29.99,49.01,73.7754
2119,163.00,49.01,534.64
393,599.00,54.01,2396.00
2483,350.00,54.01,262.50
1969,3199.99,66.86,4799.985
708,78.00,49.01,1560.00
1845,1599.00,49.01,14391.00
1050,312.00,54.01,499.20
6,21.57,49.00,80.8875
584,190.00,66.86,3325.00
1510,129.00,49.01,2064.00
1238,168.00,49.01,1293.60
1046,312.00,54.01,811.20
1636,12.66,54.02,11.394
937,79.00,54.01,1185.00
1454,199.00,54.01,1393.00
866,69.99,54.00,629.91
1185,880.00,54.01,6776.00
1737,28.00,49.00,117.60
2093,508.00,49.01,1371.60
2248,268.50,54.01,483.30
1828,1989.00,54.01,4892.94
157,1099.99,54.01,3519.968
1100,632.00,66.86,5561.60
1214,165.00,49.01,1848.00
1371,32.99,54.01,178.146
320,699.00,54.01,1887.30
98,120.00,54.01,600.00
1227,988.00,66.86,7607.60
501,59.00,49.01,708.00
1261,36.99,49.01,295.92
860,29.95,54.02,179.70
2305,229.99,54.01,620.973
499,99.00,49.02,1039.50
1577,219.00,66.86,1423.50
421,469.00,54.01,6331.50
751,11.50,49.04,92.00
1781,43.00,49.02,215.00
1360,46.99,66.86,375.92
29,255.00,66.86,459.00
878,129.95,66.86,974.625
2070,139.99,49.01,524.9625
1228,1620.00,66.86,1620.00
1557,310.00,54.01,1736.00
1128,627.00,66.86,4012.80
2368,109.99,49.01,593.946
2095,1475.00,66.86,10620.00
1206,1560.00,66.86,17160.00
2325,29.99,49.01,53.982
1995,665.94,66.86,2730.354
791,29.90,54.01,119.60
1205,1580.00,66.86,6162.00
1629,9.99,49.04,64.935
267,329.00,49.01,1316.00
378,758.00,54.01,5685.00
223,579.00,54.01,463.20
1237,178.00,49.01,231.40
2192,268.50,54.01,660.51
34,95.95,49.01,550.753
1811,32.00,49.03,179.20
33,255.00,66.86,918.00
295,279.00,49.01,1325.25
2429,32.89,49.01,266.409
1314,205.00,54.01,1599.00
2070,139.99,49.01,1033.1262
392,382.95,49.01,574.425
2377,459.99,54.01,1508.7672
1659,259.99,66.86,1169.955
1173,432.00,49.01,2851.20
1557,310.00,54.01,2976.00
1148,422.00,49.01,4051.20
1041,231.00,66.87,693.00
2347,101.99,49.01,229.4775
168,129.00,54.01,129.00
107,132.99,54.01,531.96
1895,1599.00,49.01,9594.00
1668,6.99,49.07,34.251
287,399.00,54.01,1596.00
2221,29.99,49.01,26.991
1527,268.00,54.01,2251.20
108,132.99,54.01,872.4144
1336,43.81,54.00,438.10
1436,258.00,54.01,2064.00
689,159.00,54.01,1669.50
88,149.99,66.87,674.955
1568,280.00,54.01,392.00
1198,411.00,49.01,534.30
2412,29.99,49.01,49.1836
1950,129.99,49.01,909.93
1322,32.99,54.01,65.98
1415,300.00,54.01,1500.00
2067,665.94,66.86,1798.038
1031,165.00,54.01,214.50
670,196.00,54.01,294.00
14,77.68,54.01,349.56
396,1299.00,66.86,7794.00
2227,101.99,49.01,407.96
1415,300.00,54.01,3000.00
2284,79.95,49.01,65.559
2491,24.99,49.01,239.904
346,659.00,54.01,5931.00
794,11.90,48.99,142.80
1569,299.00,54.01,956.80
2274,119.99,49.02,295.1754
1072,427.00,66.86,2562.00
1223,460.00,49.01,3220.00
1913,279.99,49.01,2015.928
1155,980.00,66.86,7644.00
821,29.90,54.01,299.00
1763,99.75,54.01,488.775
344,366.00,49.01,549.00
192,599.00,54.01,599.00
2343,339.00,54.01,915.30
736,118.00,54.01,2655.00
1666,16.89,66.84,16.89
528,819.00,66.86,6142.50
1429,289.00,54.01,2312.00
770,52.90,49.01,423.20
1372,35.99,54.01,151.158
1894,1818.00,54.01,4908.60
1510,129.00,49.01,1857.60
256,409.00,49.01,368.10
1245,168.00,49.01,1176.00
1790,43.00,49.02,232.20
1548,266.00,54.01,3724.00
427,469.00,54.01,5862.50
1449,300.00,54.01,3000.00
1409,589.00,66.86,2473.80
1087,358.00,54.01,2756.60
187,129.90,66.86,818.37
2068,199.99,54.01,899.955
2316,79.95,49.01,359.775
1026,198.00,54.01,1267.20
1160,890.00,54.01,3560.00
618,299.00,66.86,1794.00
2283,101.99,49.01,550.746
1302,95.00,54.01,617.50
118,169.99,49.01,509.97
2339,101.99,49.01,275.373
1227,988.00,66.86,5434.00
2028,139.99,49.01,559.96
1161,880.00,54.01,2640.00
1775,43.00,49.02,77.40
1640,22.89,66.88,61.803
2393,399.99,54.01,3279.918
1384,16.99,49.02,142.716
2431,29.09,49.02,235.629
1898,899.00,54.01,4423.08
622,2295.00,66.86,45900.00
1884,1818.00,54.01,16362.00
489,819.00,66.86,2047.50
2493,24.99,49.01,79.968
994,184.50,54.01,1439.10
964,290.00,66.86,638.00
320,699.00,54.01,559.20
524,179.00,54.01,3222.00
347,586.00,54.01,2930.00
1551,299.00,54.01,1255.80
1124,657.00,66.86,6570.00
2349,459.99,54.01,377.1918
1438,290.00,54.01,4640.00
2383,635.99,66.86,1907.97
2512,129.99,66.86,1663.872
529,869.00,66.86,17380.00
1372,35.99,54.01,71.98
406,382.95,49.01,5169.825
1271,6.95,49.06,69.50
372,758.00,54.01,2274.00
1331,26.99,54.02,215.92
973,200.00,66.87,2600.00
2514,129.99,66.86,1039.92
515,59.00,49.01,1327.50
835,52.90,49.01,634.80
1072,427.00,66.86,2775.50
1978,299.99,49.01,599.98
2105,1475.00,66.86,1327.50
619,251.00,54.01,3137.50
2,12.99,49.03,46.764
1054,312.00,54.01,1872.00
1228,1620.00,66.86,12960.00
1695,4.98,48.99,6.972
1293,595.00,66.86,4581.50
1121,436.20,66.86,4798.20
2494,2.94,48.97,8.82
249,199.00,49.01,945.25
924,1.99,49.24,29.85
969,196.90,54.01,787.60
1998,139.99,49.01,1133.919
38,299.23,66.86,2423.763
1103,358.00,54.01,4188.60
2402,199.99,49.01,399.98
1655,289.99,66.86,1130.961
1479,310.00,54.01,3472.00
1777,43.00,49.02,154.80
2175,129.90,49.01,779.40
1256,19.99,49.02,103.948
108,132.99,54.01,545.259
665,102.00,49.01,1428.00
787,9.50,49.05,23.75
2174,149.00,49.02,610.90
206,569.00,54.01,2731.20
1972,299.99,49.01,2099.93
45,232.00,54.01,1879.20
998,198.00,54.01,1742.40
1130,319.00,54.01,2871.00
1205,1580.00,66.86,14378.00
42,232.00,54.01,464.00
1433,308.00,54.01,3080.00
2033,179.99,54.01,485.973
1448,256.00,54.01,2867.20
1454,199.00,54.01,1074.60
247,339.00,54.01,1084.80
1071,338.00,54.01,1352.00
2061,665.94,66.86,3329.70
1842,2652.00,66.86,14320.80
995,188.50,54.01,2450.50
491,619.00,66.86,4642.50
1027,231.00,66.87,1155.00
905,75.99,49.01,189.975
2287,339.00,54.01,1111.92
246,329.00,49.01,1579.20
1962,129.99,49.01,106.5918
195,639.00,54.01,1917.00
1257,39.99,49.01,511.872
2135,745.99,54.01,5505.4062
1796,43.00,49.02,120.40
820,25.50,49.01,153.00
2390,635.99,66.86,3815.94
960,148.00,54.01,1302.40
1339,35.99,54.01,518.256
153,469.97,54.01,3759.76
327,279.00,49.01,530.10
959,200.00,66.87,260.00
289,529.00,54.01,2856.60
2485,400.00,54.01,1800.00
2129,745.99,54.01,3058.559
1452,293.00,54.01,1640.80
2296,268.50,54.01,805.50
869,69.99,54.00,349.95
1703,5.39,48.97,14.553
1166,165.00,49.01,495.00
1858,1989.90,54.01,7163.64
1974,129.99,49.01,701.946
655,160.00,54.01,640.00
115,249.99,66.86,224.991
1298,25.00,54.00,275.00
1060,627.00,66.86,5517.60
1224,1030.00,66.86,3296.00
523,139.00,49.01,1946.00
1304,68.00,54.01,652.80
1659,259.99,66.86,1351.948
1167,160.00,49.01,1584.00
2240,268.50,54.01,440.34
1816,32.00,49.03,44.80
478,679.00,66.86,8148.00
2183,745.99,54.01,2446.8472
411,699.00,54.01,8737.50
1604,259.99,66.86,2339.91
2228,79.95,49.01,143.91
1976,899.00,54.01,1474.36
192,599.00,54.01,3833.60
307,369.00,54.01,2583.00
1598,57.88,54.00,578.80
681,121.00,54.01,1936.00
2102,791.00,54.01,5837.58
1017,165.00,54.01,792.00
843,26.90,49.03,161.40
1362,16.99,54.03,61.164
358,326.00,49.01,5868.00
821,29.90,54.01,29.90
1594,9.99,49.04,79.92
1411,268.00,54.01,2626.40
1430,299.00,54.01,2870.40
1017,165.00,54.01,1501.50
1383,12.99,49.03,64.95
335,869.00,66.86,8255.50
1535,268.00,54.01,3430.40
168,129.00,54.01,1044.90
710,121.00,54.01,484.00
2429,32.89,49.01,88.803
334,999.00,66.86,4495.50
249,199.00,49.01,995.00
2449,14.99,49.03,80.946
1274,52.13,49.01,750.672
919,0.95,49.47,8.55
1557,310.00,54.01,3968.00
2444,4.99,49.09,26.1975
1410,230.00,54.01,1150.00
1862,2652.90,66.86,23876.10
828,23.90,54.01,322.65
1977,493.00,54.01,443.70
2117,745.99,54.01,5371.128
175,116.90,54.01,280.56
1584,9.99,49.04,35.964
378,758.00,54.01,10612.00
1258,39.99,49.01,239.94
1607,179.99,54.01,1619.91
2121,129.90,49.01,129.90
1547,255.00,54.01,2499.00
1400,35.99,54.01,287.92
1746,109.00,66.87,686.70
1455,290.00,54.01,464.00
1430,299.00,54.01,956.80
2340,79.95,49.01,590.031
1479,310.00,54.01,3348.00
1018,188.00,54.01,1316.00
520,679.00,66.86,8487.50
147,2899.99,66.86,5509.981
108,132.99,54.01,218.1036
548,190.00,54.01,380.00
2226,119.99,49.02,323.973
200,549.00,54.01,2086.20
310,299.00,49.01,1420.25
1597,57.88,54.00,156.276
1380,21.00,54.00,21.00
1392,42.99,66.87,550.272
1349,9.99,49.04,15.984
1974,129.99,49.01,935.928
1650,289.99,66.86,260.991
1617,57.99,54.00,243.558
1977,493.00,54.01,2218.50
1276,52.13,49.01,344.058
1602,179.99,54.01,1871.896
1093,568.00,66.86,1817.60
162,1592.20,66.86,11463.84
469,99.00,49.02,297.00
1037,188.50,54.01,1244.10
455,919.00,66.86,12866.00
1371,32.99,54.01,534.438
85,99.99,54.01,499.95
1552,398.00,66.86,1671.60
395,326.00,49.01,652.00
2415,36.83,49.00,60.4012
2356,459.99,54.01,2263.1508
2136,445.00,54.01,1335.00
377,599.00,54.01,4492.50
1618,58.99,54.00,318.546
1728,79.80,54.01,239.40
136,349.95,54.01,279.96
1002,148.00,54.01,710.40
2503,9.99,49.04,17.982
319,869.00,66.86,2780.80
1164,180.00,49.01,2016.00
1947,493.00,54.01,2829.82
1004,188.00,54.01,977.60
922,0.95,49.47,8.55
1346,23.00,54.00,207.00
409,326.00,49.01,4075.00
1876,999.00,49.01,2997.00
1153,999.00,66.86,12787.20
2268,79.95,49.01,299.8125
1247,49.99,49.00,194.961
960,148.00,54.01,947.20
1264,69.99,49.02,545.922
1875,1599.00,49.01,6396.00
809,39.90,49.02,598.50
2473,29.99,49.01,98.3672
803,17.90,48.99,125.30
403,699.00,54.01,5592.00
1907,279.99,49.01,918.3672
1638,13.89,53.99,83.34
1848,1989.90,54.01,7163.64
1925,279.99,49.01,1959.93
1916,899.00,54.01,737.18
524,179.00,54.01,179.00
503,819.00,66.86,6552.00
2068,199.99,54.01,539.973
199,569.00,54.01,4608.90
2317,29.99,49.01,80.973
1920,129.99,49.01,746.1426
512,129.00,49.01,2322.00
2282,119.99,49.02,787.1344
2427,32.89,49.01,215.7584
1085,568.00,66.86,908.80
1577,219.00,66.86,2190.00
2165,745.99,54.01,1223.4236
1979,279.99,49.01,2066.3262
1203,980.00,66.86,10192.00
116,169.99,49.01,1189.93
94,67.40,49.02,252.75
1227,988.00,66.86,3260.40
2013,665.94,66.86,1798.038
1040,198.00,54.01,1089.00
304,699.00,54.01,1398.00
1650,289.99,66.86,2319.92
1128,627.00,66.86,4075.50
1966,299.99,49.01,449.985
1967,279.99,49.01,1399.95
2513,129.99,66.86,519.96
445,559.00,54.01,3354.00
1382,9.99,49.04,99.90
1006,290.00,66.86,754.00
2324,79.95,49.01,262.236
916,179.00,66.86,3580.00
827,33.90,66.87,67.80
1012,198.00,54.01,435.60
1652,179.99,54.01,755.958
271,489.00,54.01,929.10
298,309.00,49.01,2348.40
1410,230.00,54.01,2898.00
894,59.99,49.02,89.985
2405,459.99,54.01,344.9925
1747,109.00,66.87,610.40
1955,279.99,49.01,559.98
370,382.95,49.01,2872.125
2344,268.50,54.01,1342.50
591,229.00,49.01,1832.00
2129,745.99,54.01,2446.8472
2508,4.74,48.94,17.064
1101,568.00,66.86,5907.20
218,689.00,54.01,3858.40
1826,32.00,49.03,96.00
444,919.00,66.86,1378.50
1541,299.00,54.01,1255.80
1306,68.00,54.01,224.40
2065,99.99,49.01,359.964
1150,411.00,49.01,1356.30
1427,230.00,54.01,368.00
15,77.68,54.01,543.76
1718,70.13,54.01,631.17
159,1099.99,54.01,3134.9715
2011,99.99,49.01,409.959
1831,999.00,49.01,1798.20
2213,29.99,49.01,53.982
1316,9.99,49.04,159.84
1783,43.00,49.02,348.30
669,188.00,54.01,376.00
4,21.57,49.00,32.355
2396,109.99,49.01,450.959
1559,299.00,54.01,2392.00
2467,30.99,49.01,27.891
460,299.90,49.01,3148.95
2126,149.00,49.02,855.26
101,120.00,54.01,960.00
411,699.00,54.01,2097.00
1831,999.00,49.01,7992.00
2490,14.99,49.03,41.972
2302,635.99,66.86,3815.94
799,39.90,66.86,99.75
867,69.99,54.00,209.97
1695,4.98,48.99,49.80
